id,url,score,name,rank,n_reviews,city,Utmärkt,Hemskt,tags,Mycket bra,Medelmåttigt,county,Dåligt
72,https://www.tripadvisor.se/Attraction_Review-g189852-d208170-Reviews-Lake_Malaren-Stockholm.html,4.5,Lake Malaren,25,146,Stockholm,8,0,Vattendrag|Natur och parker,5,0,Stockholms län›,0
73,https://www.tripadvisor.se/Attraction_Review-g189852-d313584-Reviews-Parliament_Building_Riksdagshuset-Stockholm.html,4.0,Parliament Building (Riksdagshuset),26,217,Stockholm,3,0,Regeringsbyggnader|Sevärdheter och landmärken,4,2,Stockholms län›,1
74,https://www.tripadvisor.se/Attraction_Review-g189852-d207782-Reviews-Hallwyl_Museum_Hallwylska_Museet-Stockholm.html,4.5,Hallwylska Museet,27,313,Stockholm,63,0,Historiska museer|Museer,56,2,Stockholms län›,2
75,https://www.tripadvisor.se/Attraction_Review-g189852-d313580-Reviews-Opera_House_Operan-Stockholm.html,4.5,Opera House (Operan),28,262,Stockholm,17,0,Operor|Teatrar|Konserter och föreställningar,8,4,Stockholms län›,0
77,https://www.tripadvisor.se/Attraction_Review-g189852-d244309-Reviews-Nordiska_museet-Stockholm.html,4.0,Nordiska museet,30,685,Stockholm,14,0,Historiska museer|Museer,26,7,Stockholms län›,1
78,https://www.tripadvisor.se/Attraction_Review-g189852-d1209422-Reviews-Swedish_Museum_of_Natural_History-Stockholm.html,4.5,Naturhistoriska riksmuseet,31,254,Stockholm,31,0,Naturhistoriska museer|Museer,42,17,Stockholms län›,4
79,https://www.tripadvisor.se/Attraction_Review-g189852-d313566-Reviews-The_Army_Museum-Stockholm.html,4.5,Armémuseum,32,246,Stockholm,13,0,Militärmuseer|Museer,30,11,Stockholms län›,2
80,https://www.tripadvisor.se/Attraction_Review-g189852-d324273-Reviews-Skogskyrkogarden-Stockholm.html,4.5,Skogskyrkogården,33,216,Stockholm,24,0,Kyrkogårdar|Historiska platser|Sevärdheter och landmärken,20,3,Stockholms län›,0
82,https://www.tripadvisor.se/Attraction_Review-g189852-d7690703-Reviews-Strandvagen-Stockholm.html,4.5,Strandvägen,35,103,Stockholm,6,1,Historiska promenadområden|Sevärdheter och landmärken,14,1,Stockholms län›,0
83,https://www.tripadvisor.se/Attraction_Review-g189852-d6703436-Reviews-Hagaparken-Stockholm.html,4.5,Hagaparken,36,100,Stockholm,11,0,Parker|Natur och parker,21,3,Stockholms län›,0
84,https://www.tripadvisor.se/Attraction_Review-g189852-d592756-Reviews-Fjallgatan-Stockholm.html,4.5,Fjällgatan,37,186,Stockholm,31,0,Intressanta platser och landmärken|Utkikspunkter|Sevärdheter och landmärken,13,1,Stockholms län›,1
85,https://www.tripadvisor.se/Attraction_Review-g189852-d268023-Reviews-The_Nobel_Museum-Stockholm.html,3.5,The Nobel Museum,38,948,Stockholm,4,0,Specialmuseer|Museer,9,6,Stockholms län›,0
